product, mid, bid_offer_spread
3137EAEC9,100-253,0-00+
3137EADB2,99-085,0-00+
3134A3U46,100-115,0-002
3134A4KX1,99-081,0-00+
3137EAED7,99-122,0-002
3137EAEB1,99-035,0-002
3137EAEC9,100-270,0-003
3137EADB2,100-23+,0-003
3134A3U46,100-116,0-002
3134A4KX1,99-211,0-002
3137EAED7,100-073,0-00+
3137EAEB1,99-01+,0-00+
3137EAEC9,100-193,0-002
3137EADB2,99-040,0-002
3134A3U46,99-187,0-002
3134A4KX1,100-213,0-003
3137EAED7,99-295,0-002
3137EAEB1,99-015,0-003
3137EAEC9,99-100,0-00+
3137EADB2,99-13+,0-00+
3134A3U46,99-071,0-002
3134A4KX1,99-276,0-00+
3137EAED7,99-046,0-002
3137EAEB1,100-171,0-002
3137EAEC9,100-012,0-002
3137EADB2,99-310,0-003
3134A3U46,99-00+,0-00+
3134A4KX1,100-177,0-002
3137EAED7,99-085,0-002
3137EAEB1,100-031,0-002
3137EAEC9,99-17+,0-003
3137EADB2,100-017,0-00+
3134A3U46,99-005,0-003
3134A4KX1,100-19+,0-002
3137EAED7,99-172,0-00+
3137EAEB1,99-267,0-003
3137EAEC9,99-247,0-00+
3137EADB2,100-151,0-003
3134A3U46,100-23+,0-00+
3134A4KX1,100-090,0-00+
3137EAED7,99-017,0-002
3137EAEB1,99-022,0-00+
3137EAEC9,100-030,0-003
3137EADB2,100-016,0-00+
3134A3U46,100-271,0-002
3134A4KX1,99-190,0-002
3137EAED7,100-266,0-003
3137EAEB1,99-283,0-002
3137EAEC9,100-231,0-003
3137EADB2,99-15+,0-00+
3134A3U46,99-092,0-002
3134A4KX1,99-24+,0-003
3137EAED7,99-31+,0-003
3137EAEB1,100-086,0-00+
3137EAEC9,100-123,0-002
3137EADB2,99-112,0-002
3134A3U46,99-015,0-003
3134A4KX1,100-161,0-003
3137EAED7,99-046,0-002
3137EAEB1,99-152,0-003
3137EAEC9,100-071,0-002
3137EADB2,99-31+,0-002
3134A3U46,100-18+,0-00+
3134A4KX1,99-075,0-002
3137EAED7,99-223,0-00+
3137EAEB1,99-123,0-002
3137EAEC9,99-190,0-002
3137EADB2,99-281,0-003
3134A3U46,100-181,0-003
3134A4KX1,100-27+,0-00+
3137EAED7,99-192,0-003
3137EAEB1,100-136,0-00+
3137EAEC9,99-145,0-002
3137EADB2,100-073,0-003
3134A3U46,100-197,0-00+
3134A4KX1,100-042,0-002
3137EAED7,100-015,0-002
3137EAEB1,100-026,0-002
3137EAEC9,100-226,0-002
3137EADB2,100-136,0-00+
3134A3U46,100-063,0-003
3134A4KX1,100-122,0-002
3137EAED7,100-13+,0-00+
3137EAEB1,100-037,0-002
3137EAEC9,100-025,0-003
3137EADB2,100-05+,0-00+
3134A3U46,100-221,0-00+
3134A4KX1,99-186,0-002
3137EAED7,99-156,0-003
3137EAEB1,100-171,0-00+
3137EAEC9,99-271,0-002
3137EADB2,100-200,0-003
3134A3U46,100-223,0-003
3134A4KX1,99-007,0-002
3137EAED7,99-305,0-002
3137EAEB1,99-076,0-002
3137EAEC9,100-137,0-00+
3137EADB2,100-311,0-002
3134A3U46,100-137,0-002
3134A4KX1,99-236,0-002
3137EAED7,100-280,0-00+
3137EAEB1,100-136,0-003
3137EAEC9,100-261,0-003
3137EADB2,100-050,0-002
3134A3U46,100-080,0-003
3134A4KX1,99-313,0-003
3137EAED7,100-277,0-00+
3137EAEB1,100-282,0-00+
3137EAEC9,100-175,0-00+
3137EADB2,100-045,0-002
3134A3U46,99-280,0-002
3134A4KX1,100-195,0-002
3137EAED7,100-111,0-003
3137EAEB1,99-267,0-002
3137EAEC9,99-040,0-00+
3137EADB2,99-106,0-002
3134A3U46,99-043,0-003
3134A4KX1,100-062,0-002
3137EAED7,99-311,0-003
3137EAEB1,100-245,0-002
3137EAEC9,100-20+,0-00+
3137EADB2,99-130,0-00+
3134A3U46,100-216,0-002
3134A4KX1,100-041,0-003
3137EAED7,99-192,0-00+
3137EAEB1,99-050,0-002
3137EAEC9,100-257,0-003
3137EADB2,100-273,0-003
3134A3U46,99-241,0-00+
3134A4KX1,100-006,0-002
3137EAED7,100-260,0-002
3137EAEB1,100-236,0-00+
3137EAEC9,100-265,0-00+
3137EADB2,100-100,0-003
3134A3U46,100-281,0-003
3134A4KX1,99-135,0-003
3137EAED7,99-101,0-002
3137EAEB1,100-012,0-00+
3137EAEC9,100-300,0-003
3137EADB2,100-295,0-003
3134A3U46,99-253,0-002
3134A4KX1,100-022,0-003
3137EAED7,99-312,0-003
3137EAEB1,99-197,0-003
3137EAEC9,100-055,0-003
3137EADB2,100-27+,0-00+
3134A3U46,100-216,0-003
3134A4KX1,99-070,0-002
3137EAED7,99-246,0-00+
3137EAEB1,100-010,0-003
3137EAEC9,99-062,0-003
3137EADB2,99-120,0-00+
3134A3U46,100-227,0-00+
3134A4KX1,99-117,0-002
3137EAED7,100-073,0-00+
3137EAEB1,99-036,0-003
3137EAEC9,100-237,0-00+
3137EADB2,99-091,0-002
3134A3U46,99-122,0-00+
3134A4KX1,99-252,0-002
3137EAED7,99-027,0-00+
3137EAEB1,100-012,0-003
3137EAEC9,100-192,0-00+
3137EADB2,99-082,0-003
3134A3U46,99-176,0-00+
3134A4KX1,100-231,0-003
3137EAED7,99-083,0-003
3137EAEB1,99-066,0-002
3137EAEC9,99-086,0-00+
3137EADB2,99-080,0-00+
3134A3U46,99-282,0-002
3134A4KX1,99-26+,0-002
3137EAED7,100-026,0-002
3137EAEB1,99-117,0-002
3137EAEC9,99-246,0-002
3137EADB2,99-20+,0-003
3134A3U46,99-216,0-003
3134A4KX1,99-160,0-002
3137EAED7,99-13+,0-00+
3137EAEB1,100-205,0-00+
3137EAEC9,99-196,0-003
3137EADB2,100-09+,0-00+
3134A3U46,100-09+,0-002
3134A4KX1,100-266,0-00+
3137EAED7,99-017,0-002
3137EAEB1,99-235,0-00+
3137EAEC9,100-022,0-003
3137EADB2,99-186,0-002
3134A3U46,99-030,0-002
3134A4KX1,99-092,0-002
3137EAED7,100-257,0-00+
3137EAEB1,100-225,0-003
3137EAEC9,100-303,0-00+
3137EADB2,99-166,0-002
3134A3U46,100-185,0-00+
3134A4KX1,100-191,0-002
3137EAED7,99-065,0-00+
3137EAEB1,100-251,0-002
3137EAEC9,100-096,0-002
3137EADB2,99-162,0-00+
3134A3U46,99-311,0-00+
3134A4KX1,99-105,0-003
3137EAED7,99-245,0-002
3137EAEB1,100-055,0-003
3137EAEC9,100-276,0-002
3137EADB2,100-113,0-00+
3134A3U46,100-293,0-002
3134A4KX1,99-295,0-00+
3137EAED7,99-265,0-003
3137EAEB1,100-23+,0-003
3137EAEC9,100-19+,0-003
3137EADB2,99-165,0-00+
3134A3U46,99-10+,0-003
3134A4KX1,100-220,0-003
3137EAED7,100-060,0-002
3137EAEB1,99-220,0-002
3137EAEC9,99-255,0-002
3137EADB2,100-242,0-002
3134A3U46,100-233,0-003
3134A4KX1,100-221,0-002
3137EAED7,100-127,0-002
3137EAEB1,100-031,0-003
3137EAEC9,99-11+,0-003
3137EADB2,99-133,0-00+
3134A3U46,100-28+,0-003
3134A4KX1,100-011,0-002
3137EAED7,100-191,0-002
3137EAEB1,99-053,0-002
3137EAEC9,100-271,0-002
3137EADB2,100-220,0-003
3134A3U46,99-182,0-002
3134A4KX1,99-080,0-003
3137EAED7,100-042,0-002
3137EAEB1,99-042,0-003
3137EAEC9,99-212,0-00+
3137EADB2,99-192,0-00+
3134A3U46,100-153,0-003
3134A4KX1,100-146,0-00+
3137EAED7,100-042,0-003
3137EAEB1,100-220,0-002
3137EAEC9,100-210,0-003
3137EADB2,100-206,0-00+
3134A3U46,100-195,0-002
3134A4KX1,100-191,0-002
3137EAED7,100-156,0-002
3137EAEB1,99-273,0-003
3137EAEC9,100-265,0-003
3137EADB2,99-10+,0-002
3134A3U46,100-090,0-00+
3134A4KX1,99-236,0-002
3137EAED7,99-27+,0-00+
3137EAEB1,100-180,0-002
3137EAEC9,99-213,0-003
3137EADB2,99-210,0-00+
3134A3U46,100-043,0-003
3134A4KX1,100-185,0-003
3137EAED7,99-132,0-003
3137EAEB1,100-033,0-003
3137EAEC9,99-147,0-00+
3137EADB2,100-080,0-00+
3134A3U46,100-213,0-00+
3134A4KX1,99-177,0-00+
3137EAED7,99-127,0-002
3137EAEB1,100-133,0-00+
3137EAEC9,99-157,0-002
3137EADB2,100-116,0-003
3134A3U46,99-190,0-003
3134A4KX1,100-222,0-002
3137EAED7,100-106,0-002
3137EAEB1,100-050,0-002
3137EAEC9,99-031,0-002
3137EADB2,99-067,0-003
3134A3U46,99-071,0-002
3134A4KX1,100-090,0-003
3137EAED7,100-240,0-003
3137EAEB1,99-250,0-00+
3137EAEC9,99-246,0-003
3137EADB2,99-145,0-00+
3134A3U46,99-073,0-00+
3134A4KX1,100-08+,0-003
3137EAED7,100-230,0-002
3137EAEB1,100-312,0-002
3137EAEC9,99-297,0-003
3137EADB2,100-091,0-002
3134A3U46,100-22+,0-00+
3134A4KX1,100-266,0-002
3137EAED7,99-13+,0-00+
3137EAEB1,99-311,0-002
3137EAEC9,99-315,0-00+
3137EADB2,99-095,0-00+
3134A3U46,100-296,0-00+
3134A4KX1,100-070,0-002
3137EAED7,99-261,0-00+
3137EAEB1,99-175,0-00+
3137EAEC9,99-086,0-002
3137EADB2,100-000,0-003
3134A3U46,100-262,0-002
3134A4KX1,99-281,0-003
3137EAED7,100-217,0-00+
3137EAEB1,99-015,0-00+
3137EAEC9,100-246,0-00+
3137EADB2,100-262,0-002
3134A3U46,100-142,0-003
3134A4KX1,99-202,0-00+
3137EAED7,99-137,0-00+
3137EAEB1,99-201,0-00+
3137EAEC9,99-103,0-003
3137EADB2,99-282,0-002
3134A3U46,100-23+,0-002
3134A4KX1,100-046,0-002
3137EAED7,99-072,0-00+
3137EAEB1,99-317,0-003
3137EAEC9,100-126,0-002
3137EADB2,99-235,0-003
3134A3U46,100-172,0-003
3134A4KX1,99-296,0-002
3137EAED7,100-133,0-00+
3137EAEB1,99-183,0-003
3137EAEC9,100-105,0-003
3137EADB2,100-081,0-00+
3134A3U46,99-036,0-002
3134A4KX1,100-025,0-00+
3137EAED7,99-286,0-00+
3137EAEB1,100-13+,0-00+
3137EAEC9,100-105,0-00+
3137EADB2,99-272,0-003
3134A3U46,99-196,0-003
3134A4KX1,99-311,0-003
3137EAED7,99-292,0-00+
3137EAEB1,99-15+,0-00+
3137EAEC9,100-310,0-00+
3137EADB2,99-07+,0-002
3134A3U46,99-073,0-00+
3134A4KX1,100-263,0-00+
3137EAED7,99-30+,0-00+
3137EAEB1,99-077,0-003
3137EAEC9,100-113,0-002
3137EADB2,99-241,0-00+
3134A3U46,99-200,0-002
3134A4KX1,100-247,0-002
3137EAED7,100-036,0-003
3137EAEB1,99-197,0-00+
3137EAEC9,99-252,0-002
3137EADB2,100-305,0-00+
3134A3U46,99-180,0-002
3134A4KX1,100-097,0-002
3137EAED7,100-080,0-00+
3137EAEB1,100-177,0-003
3137EAEC9,100-207,0-002
3137EADB2,100-230,0-003
3134A3U46,99-040,0-002
3134A4KX1,99-06+,0-002
3137EAED7,100-09+,0-002
3137EAEB1,100-015,0-003
3137EAEC9,100-050,0-003
3137EADB2,99-083,0-002
3134A3U46,99-136,0-003
3134A4KX1,100-196,0-002
